date,open,high,low,close,volume
2021-10-14,21.6,21.87,21.43,21.6,301721
2021-10-15,21.52,21.6,21.25,21.52,309215
2021-10-18,21.43,21.43,20.9,21.08,554551
2021-10-19,21.17,21.17,20.64,20.82,397600
2021-10-20,20.82,21.43,20.64,21.17,223825
2021-10-21,21.34,21.34,20.55,20.55,231900
2021-10-22,20.64,20.99,20.64,20.99,265926
2021-10-25,20.82,21.6,20.64,21.25,392020
2021-10-26,21.34,22.3,21.25,22.13,749208
2021-10-27,22.22,22.74,22.22,22.57,759217
2021-10-28,22.57,22.57,22.04,22.13,604777
2021-10-29,22.22,23.26,21.69,22.92,1400248
2021-11-01,23.53,24.05,22.74,23.09,759636
2021-11-02,23.18,23.53,22.92,23.53,705952
2021-11-03,23.61,24.31,22.92,23.18,1554224
2021-11-04,23.7,23.7,22.39,22.83,476310
2021-11-05,23.26,23.7,23.0,23.44,473035
2021-11-08,23.44,24.4,23.44,24.05,1142055
2021-11-09,24.05,24.23,23.7,23.88,452776
2021-11-10,23.88,24.75,23.44,24.4,730357
2021-11-11,24.23,24.58,23.35,23.79,563362
2021-11-12,23.79,23.79,22.65,23.26,689062
2021-11-15,23.26,24.49,23.09,24.05,893961
2021-11-16,24.05,24.05,23.26,23.44,463864
2021-11-17,23.61,23.79,23.26,23.79,385300
2021-11-18,23.7,23.96,23.18,23.35,466826
2021-11-19,23.44,23.53,21.43,22.13,918959
2021-11-22,22.13,22.13,20.73,20.82,634003
2021-11-23,20.99,21.87,20.47,21.6,257040
2021-11-24,21.78,21.87,21.17,21.25,246134
2021-11-25,21.43,21.87,21.34,21.6,253885
2021-11-26,21.52,22.83,20.99,22.48,696800
2021-11-29,22.3,25.01,22.3,25.01,2058520
2021-11-30,25.01,26.24,24.75,25.01,1019333
2021-12-01,24.84,25.54,23.79,24.05,692750
2021-12-02,24.23,24.4,22.83,23.96,926299
2021-12-03,23.96,24.05,22.57,23.09,579369
2021-12-06,22.92,22.92,20.99,21.69,451775
2021-12-07,21.69,22.3,20.99,22.13,353974
2021-12-08,22.22,22.3,21.69,21.95,410508
2021-12-09,21.87,22.39,21.69,22.3,232400
2021-12-10,22.3,23.0,22.04,22.39,276004
2021-12-13,22.48,22.65,21.6,22.3,398947
2021-12-14,22.04,23.88,21.87,23.79,879918
2021-12-15,23.61,23.79,22.83,23.18,341100
2021-12-16,23.7,23.7,22.92,23.09,281009
2021-12-17,23.09,23.09,22.39,22.74,603219
2021-12-20,22.74,23.09,22.39,22.74,409383
2021-12-21,22.74,23.96,22.74,23.44,695183
2021-12-22,23.44,24.4,23.44,23.79,1056970
2021-12-23,24.49,24.49,22.74,22.92,560829
2021-12-24,23.35,23.44,22.3,22.83,477700
2021-12-27,22.83,22.83,22.13,22.13,538125
2021-12-28,22.13,23.61,21.87,23.0,556447
2021-12-29,23.26,23.26,22.22,22.3,230300
2021-12-30,22.13,22.57,22.04,22.39,231103
2021-12-31,22.13,22.48,22.04,22.3,305400
2022-01-04,22.3,22.65,22.22,22.48,310150
2022-01-05,22.83,22.83,22.22,22.57,386413
2022-01-06,22.57,22.65,22.13,22.3,489400
2022-01-07,22.39,22.48,21.87,21.95,492202
2022-01-10,22.04,22.65,21.95,22.04,406673
2022-01-11,22.13,22.13,21.08,21.34,596662
2022-01-12,21.6,21.6,19.85,20.73,638200
2022-01-13,20.73,20.99,19.24,19.24,436650
2022-01-14,19.24,19.85,18.45,19.68,220483
2022-01-17,18.8,20.12,17.49,18.54,299801
2022-01-18,18.45,18.98,18.02,18.37,233400
2022-01-19,18.54,18.8,18.37,18.45,107449
2022-01-20,18.37,19.5,18.37,18.98,244069
2022-01-21,19.59,19.59,18.89,19.24,155100
2022-01-24,18.89,18.89,18.02,18.63,219120
2022-01-25,18.45,19.07,18.37,18.89,107101
2022-01-26,19.15,19.24,18.45,18.8,55256
2022-01-27,18.54,18.89,18.54,18.72,91300
2022-01-28,18.72,18.89,18.37,18.89,97000
2022-02-07,18.72,19.42,18.72,19.33,77237
2022-02-08,19.33,19.5,19.07,19.42,87203
2022-02-09,19.68,20.47,19.59,20.38,158530
2022-02-10,20.2,20.47,20.03,20.12,97605
2022-02-11,20.12,20.29,19.77,20.29,212900
2022-02-14,20.12,20.12,19.59,19.59,125716
2022-02-15,19.59,20.12,19.42,20.12,113225
2022-02-16,20.12,20.2,19.77,20.2,129858
2022-02-17,20.38,20.38,20.03,20.2,80451
2022-02-18,20.2,22.57,20.12,21.17,632739
2022-02-21,21.87,23.09,21.78,22.3,608506
2022-02-22,22.48,22.48,21.6,21.78,189301
2022-02-23,21.69,22.13,21.34,21.95,553631
2022-02-24,22.04,22.57,21.17,21.87,483859
2022-02-25,21.87,22.39,21.87,22.13,255055
2022-02-28,22.13,23.61,22.13,23.35,1277156
2022-03-01,23.61,23.61,22.83,23.0,396900
2022-03-02,22.92,23.0,22.3,22.48,355994
2022-03-03,22.48,22.65,21.95,22.22,435820
2022-03-04,22.22,22.48,21.87,22.04,392776
2022-03-07,22.13,23.09,21.69,22.83,645592
2022-03-08,22.48,23.88,22.3,23.26,1313996
2022-03-09,23.26,23.61,22.57,22.92,377650
2022-03-10,22.92,23.79,22.92,23.26,432660
2022-03-11,23.26,23.26,22.3,22.39,634726
2022-03-14,22.57,22.57,20.99,21.25,468320
2022-03-15,21.43,21.52,20.99,21.34,272900
2022-03-16,21.43,22.3,21.25,21.78,234456
2022-03-17,21.95,21.95,21.6,21.69,184400
2022-03-18,21.87,21.87,21.43,21.6,294044
2022-03-21,21.69,21.69,21.43,21.52,246600
2022-03-22,21.94,21.94,21.58,21.85,158001
2022-03-23,21.85,21.85,21.58,21.76,246010
2022-03-24,21.76,22.21,21.22,22.03,518600
2022-03-25,22.03,22.56,21.85,21.94,209950
2022-03-28,21.94,22.03,21.4,21.76,253555
2022-03-29,21.76,23.55,21.76,23.1,1259000
